invoice_id,client_industry,client_credit_rating,client_company_size,payment_method,has_dispute_history,collateral_or_guarantee,payment_terms_days,invoice_amount_kes,client_relationship_years,prior_late_payments_count,discount_offered_pct,days_outstanding_avg_historical,guarantee_value_kes,economic_sector_growth_rate_pct,payment_risk_category
1,Technology,Good,Large,Bank Transfer,Yes,No,45,256337.0,1.9,1,2.73,22.2,,4.87,Late
2,Manufacturing,Fair,Small,Bank Transfer,No,No,60,608908.0,6.8,1,2.1,34.0,,2.09,On-Time
3,Technology,Good,Medium,Bank Transfer,Yes,No,15,499261.0,5.0,1,2.19,24.6,,4.8,On-Time
4,Technology,Good,Medium,Mobile Money,No,No,15,219366.0,8.1,0,1.3,10.3,,4.24,On-Time
5,Retail,Excellent,Large,Cheque,Yes,No,45,288282.0,4.5,0,3.26,12.9,,1.42,On-Time
6,Construction,Fair,Medium,Bank Transfer,No,Yes,15,590173.0,2.8,3,1.15,30.9,252890.29801195764,0.5,Late
7,Manufacturing,Fair,Medium,Bank Transfer,No,Yes,30,1189043.0,4.6,0,2.48,7.8,1264910.2791620637,2.35,On-Time
8,Retail,Excellent,Large,Cheque,No,No,15,217551.0,7.0,1,2.1,15.2,,1.88,On-Time
9,Retail,Fair,Large,Bank Transfer,Yes,No,45,396902.0,5.0,2,1.37,29.5,,1.42,On-Time
10,Technology,Poor,Large,Bank Transfer,No,No,45,543217.0,8.5,1,1.65,32.0,,4.27,Severely Late
11,Healthcare,Excellent,Small,Mobile Money,No,Yes,90,203644.0,4.9,1,3.91,15.5,83231.73078294452,3.55,On-Time
12,Manufacturing,Fair,Enterprise,Letter of Credit,No,No,45,460177.0,3.8,3,1.35,54.2,,1.26,Severely Late
13,Retail,Excellent,Enterprise,Mobile Money,No,No,90,210203.0,6.2,0,2.94,9.7,,0.67,On-Time
14,Construction,Poor,Large,Letter of Credit,No,No,45,215965.0,3.5,0,1.56,8.7,,1.15,Severely Late
15,Manufacturing,Fair,Small,Letter of Credit,No,No,45,114907.0,0.4,1,1.03,19.9,,1.95,On-Time
16,Healthcare,Good,Medium,Cheque,No,No,30,285951.0,12.9,2,3.57,37.9,,3.23,On-Time
17,Healthcare,Good,Medium,Bank Transfer,No,No,45,183746.0,2.8,0,0.79,19.7,,2.32,On-Time
18,Healthcare,Excellent,Small,Bank Transfer,No,No,60,280793.0,7.1,0,2.59,8.1,,3.46,On-Time
19,Retail,Excellent,Large,Letter of Credit,No,No,45,315520.0,4.4,1,0.0,16.4,,1.54,On-Time
20,Technology,Fair,Small,Mobile Money,Yes,Yes,15,64263.0,9.5,0,2.11,19.3,69619.19200554465,4.29,On-Time
21,Retail,Excellent,Medium,Cheque,No,No,45,180350.0,7.1,2,2.61,40.8,,1.65,On-Time
22,Construction,Poor,Medium,Letter of Credit,No,No,45,180186.0,5.2,1,1.76,26.6,,1.32,Severely Late
23,Manufacturing,Fair,Medium,Letter of Credit,No,No,45,485361.0,11.2,0,3.18,6.4,,2.08,Late
24,Retail,Good,Medium,Cheque,No,No,15,670033.0,7.8,0,1.65,15.6,,0.51,On-Time
25,Retail,Good,Small,Mobile Money,No,Yes,15,445979.0,5.8,0,3.12,16.5,432105.98321418074,1.58,On-Time
26,Retail,Fair,Medium,Cheque,No,Yes,45,589836.0,6.6,2,2.68,25.9,528125.5504087877,2.08,On-Time
27,Healthcare,Good,Small,Mobile Money,No,No,45,110256.0,3.9,1,2.96,16.0,,2.86,On-Time
28,Retail,Good,Large,Bank Transfer,No,Yes,30,230313.0,14.4,0,2.56,23.4,250092.24970279858,1.44,On-Time
29,Manufacturing,Fair,Large,Bank Transfer,No,No,15,138194.0,1.8,0,1.19,4.3,,1.9,On-Time
30,Construction,Good,Small,Bank Transfer,No,No,45,194858.0,1.9,1,0.09,24.6,,1.03,Late
31,Healthcare,Fair,Large,Bank Transfer,No,No,45,262298.0,7.1,0,0.39,12.9,,3.34,Late
32,Manufacturing,Good,Small,Mobile Money,No,No,60,633635.0,2.8,1,1.78,13.5,,2.15,Late
33,Retail,Excellent,Medium,Mobile Money,No,No,90,557709.0,7.7,0,1.6,10.1,,1.97,On-Time
34,Construction,Fair,Small,Letter of Credit,Yes,Yes,30,787957.0,4.5,3,0.08,51.0,375961.339697079,1.1,Severely Late
35,Retail,Fair,Small,Mobile Money,No,Yes,45,882220.0,3.5,0,1.52,20.6,689313.9255909775,0.62,On-Time
36,Healthcare,Fair,Small,Cheque,No,No,30,390551.0,13.4,2,1.02,34.6,,3.34,On-Time
37,Healthcare,Excellent,Small,Cheque,No,No,60,766799.0,4.2,1,0.42,19.9,,2.56,On-Time
38,Retail,Excellent,Large,Bank Transfer,No,No,45,35713.0,2.6,0,2.01,14.3,,1.14,On-Time
39,Technology,Excellent,Large,Mobile Money,No,No,30,265925.0,10.1,1,2.49,21.3,,4.36,On-Time
40,Construction,Good,Small,Mobile Money,No,Yes,15,108311.0,3.8,0,2.38,10.1,104185.87010219687,1.2,On-Time
41,Technology,Good,Medium,Letter of Credit,No,No,15,235397.0,3.9,1,3.42,28.4,,4.29,On-Time
42,Technology,Good,Small,Cheque,No,Yes,45,746203.0,7.9,2,0.86,31.7,380558.6237937306,4.88,On-Time
43,Retail,Good,Medium,Bank Transfer,No,Yes,15,27400.0,3.7,0,2.05,14.4,20395.947374089814,1.11,On-Time
44,Construction,Excellent,Enterprise,Cheque,Yes,Yes,45,259123.0,5.0,0,3.36,3.3,103697.97594654065,0.61,Late
45,Manufacturing,Fair,Small,Letter of Credit,No,No,60,217599.0,18.3,0,2.24,12.6,,2.44,On-Time
46,Manufacturing,Fair,Large,Cheque,No,Yes,45,455203.0,12.1,2,2.03,38.5,405189.3769258233,1.61,Late
47,Construction,Good,Enterprise,Mobile Money,No,No,60,240310.0,5.0,0,1.42,14.9,,0.77,Late
48,Technology,Poor,Medium,Letter of Credit,No,No,30,1991781.0,11.5,2,2.4,41.7,,5.17,On-Time
49,Technology,Good,Small,Cheque,No,Yes,45,578312.0,3.9,1,1.66,30.4,469996.082433968,4.2,On-Time
50,Technology,Excellent,Enterprise,Bank Transfer,No,Yes,15,848797.0,7.6,1,1.85,28.8,887418.1286902333,4.82,On-Time
51,Retail,Good,Large,Bank Transfer,No,Yes,45,188217.0,6.0,1,1.58,29.1,142400.68201016908,0.83,On-Time
52,Retail,Fair,Large,Mobile Money,No,Yes,30,375120.0,3.9,1,1.05,15.3,253635.162209626,1.6,Late
53,Manufacturing,Excellent,Medium,Cheque,No,Yes,45,363360.0,1.5,0,2.74,13.4,361073.204831954,2.45,On-Time
54,Construction,Fair,Small,Bank Transfer,No,No,30,463359.0,3.1,0,2.63,10.2,,0.99,On-Time
55,Manufacturing,Good,Medium,Mobile Money,Yes,No,45,36330.0,16.5,1,2.52,16.4,,1.69,Late
56,Technology,Fair,Medium,Bank Transfer,No,No,30,544550.0,1.8,0,2.67,13.7,,4.82,On-Time
57,Technology,Fair,Small,Mobile Money,No,No,30,637020.0,6.9,0,2.48,32.4,,4.39,On-Time
58,Manufacturing,Excellent,Large,Bank Transfer,No,Yes,30,81318.0,0.6,0,0.8,9.1,87131.64193587765,1.93,On-Time
59,Retail,Good,Large,Bank Transfer,No,No,90,144369.0,18.3,1,3.05,27.0,,1.22,Late
60,Construction,Good,Large,Mobile Money,No,Yes,45,374519.0,9.0,1,0.0,23.8,210642.95845355018,1.47,On-Time
61,Retail,Fair,Small,Mobile Money,No,No,45,198563.0,5.6,1,2.11,21.7,,0.66,Late
62,Manufacturing,Good,Small,Letter of Credit,No,Yes,60,230551.0,5.7,2,0.0,28.8,250416.78638135703,1.87,Late
